TSID,peer,parent,self,teacher
1011013012,25,24,29,26
1011013022,28,22,28,28
1011013031,17,21,21,24
1011013041,23,20,23,24
1011013071,20,17,26,20
1011013081,19,20,19,21
1011013092,11,20,19,13
1011013101,21,27,29,29
1011016012,23,22,21,19
1011016022,29,23,24,24
1011016031,11,24,23,11
1011016041,9,8,22,21
1011016052,19,25,25,26
1011016062,18,14,19,19
1011016071,18,27,22,19
1011016081,14,19,25,14
1011016092,19,26,23,26
1011016101,17,20,18,17
1011023012,7,13,14,15
1011023022,24,15,21,25
1011023031,18,18,23,25
1011023041,19,19,21,22
1011023052,28,27,28,23
1011023062,20,20,21,23
1011023071,7,17,24,17
1011023081,17,23,30,16
1011023092,29,26,27,26
1011023101,6,17,18,17
1011026012,27,28,29,21
1011026022,32,26,27,20
1011026031,26,28,28,26
1011026041,27,24,20,25
1011026052,12,18,19,9
1011026062,30,25,26,21
1011026071,31,18,24,16
1011026081,20,24,24,14
1011026092,28,24,25,14
1011026101,24,23,25,9
1011033012,12,22,22,24
1011033022,26,9,26,17
1011033031,15,12,20,12
1011033041,17,14,23,9
1011033052,22,19,21,26
1011033062,28,16,24,21
1011033071,14,22,24,19
1011033081,13,22,22,15
1011033092,26,31,27,28
1011033101,11,21,18,18
1011036012,11,26,23,21
1011036022,18,18,18,13
1011036031,24,13,16,11
1011036041,19,22,22,13
1011036052,17,18,18,23
1011036062,24,20,18,25
1011036071,20,22,26,20
1011036081,12,21,20,29
1011036092,28,18,19,26
1011036101,16,18,23,17
1011493012,27,30,24,29
1011493022,24,14,19,25
1011493031,25,27,27,28
1011493041,19,18,25,14
1011493052,15,15,16,19
1011493062,28,22,25,30
1011493071,19,23,23,23
1011493081,30,14,14,19
1011493092,21,18,16,16
1011493101,29,15,24,29
1011496012,23,23,24,25
1011496022,24,29,30,32
1011496031,18,28,25,26
1011496041,17,11,13,16
1011496052,24,20,23,28
1011496062,17,24,26,24
1011496071,25,22,21,31
1011496081,17,13,23,24
1011496092,30,28,30,31
1011496101,25,22,24,28
1011513052,23,12,22,13
1011513062,26,23,27,23
1021063012,12,11,19,21
1021063022,5,19,19,16
1021063031,31,21,23,24
1021063041,20,20,17,19
1021063052,24,19,21,13
1021063062,27,22,25,26
1021063071,21,10,12,19
1021063081,27,19,17,25
1021063092,21,24,24,24
1021063101,10,21,20,19
1021066012,15,19,23,16
1021066022,26,15,15,24
1021066031,18,24,25,25
1021066041,21,17,20,18
1021066052,27,24,25,21
1021066062,30,24,30,26
1021066071,7,20,20,21
1021066081,28,23,21,25
1021066092,26,22,21,25
1021066101,21,21,25,10
1021073012,26,15,18,20
1021073022,23,31,31,22
1021073031,16,28,28,23
1021073041,22,22,26,17
1021073052,17,14,21,22
1021073062,25,23,23,25
1021073071,28,27,27,24
1021073081,21,24,22,14
1021073092,13,25,26,14
1021073101,25,24,25,13
1021076012,22,21,22,28
1021076022,30,22,21,28
1021076031,16,24,26,23
1021076041,24,27,29,29
1021076052,28,27,27,29
1021076062,21,15,17,3
1021076071,32,24,22,26
1021076081,17,13,13,11
1021076092,27,25,26,28
1021076101,23,23,24,27
1021123012,9,17,21,9
1021123022,24,28,25,16
1021123031,22,15,21,26
1021123041,28,18,23,14
1021123052,18,20,25,22
1021123062,19,24,27,14
1021123071,15,27,29,16
1021123081,20,27,23,19
1021123092,28,19,27,17
1021123101,14,19,21,24
1021126012,19,31,26,20
1021126022,22,20,20,26
1021126031,26,32,28,29
1021126041,17,16,16,16
1021126052,9,22,25,14
1021126062,19,21,23,20
1021126071,15,24,25,29
1021126081,18,17,9,15
1021126092,15,27,26,21
1021126101,18,18,21,23
1031463012,27,13,10,24
1031463022,18,16,20,21
1031463031,30,25,26,29
1031463041,20,22,23,21
1031463052,10,15,15,15
