Variable,Rec,Start,End,Format,Label,Values,Missing Codes
psraid,1,1,7,F7.0,Unique ID,,
sample,1,8,8,F1.0,Sample type,"1 = Landline, 2 = Cell",
lang,1,9,9,F1.0,Interview Language,"1 = English, 2 = Spanish",
stratum,1,10,10,F1.0,Sample Stratum,,
int_date,1,11,16,F6.0,Interview Date,,
comp,1,17,18,F2.0,Completion type,,
area,1,19,21,F3.0,Area code,"1 = Youngest Male First, 2 = Youngest Female First",
llitext,1,22,22,F1.0,Under or Over 18,,
qs1,1,23,23,F1.0,"S1. Are you under 18 years old, OR are you 18 or older?","1 = Under 18, 2 = 18 or older, 9 = don't know, refused",
sex,1,24,24,F1.0,SEX. Respondent's sex,"1 = Male, 2 = Female",
q1,1,25,25,F1.0,"Q1 Overall, how would you rate YOUR COMMUNITY as a place to live? Would you say it is [READ]",,"8 = Don't know, 9 = Refused"
q2,1,26,26,F1.0,"Q2 Would you say that the quality of life in your community has gotten better, stayed about the same, or gotten worse since you have been living there? [READ]",,"8 = Don't know, 9 = Refused"
q3a,1,27,27,F1.0,"Q3a We're interested in how much confidence you have in some different institutions. (First,) in general, how much confidence do you have in... -Your local public schools-?",,"8 = Don't know, 9 = Refused"
q3b,1,28,28,F1.0,"Q3b We're interested in how much confidence you have in some different institutions. (First,) in general, how much confidence do you have in... -Public transportation where you live-?",,"5 = Doesn't apply, 8 = Don't know, 9 = Refused"
q3c,1,29,29,F1.0,"Q3c We're interested in how much confidence you have in some different institutions. (First,) in general, how much confidence do you have in... -Your local police-?",,"8 = Don't know, 9 = Refused"
q3d,1,30,30,F1.0,"Q3d We're interested in how much confidence you have in some different institutions. (First,) in general, how much confidence do you have in... -Your local government-?",,"8 = Don't know, 9 = Refused"
q3e,1,31,31,F1.0,"Q3e We're interested in how much confidence you have in some different institutions. (First,) in general, how much confidence do you have in... -Your state government-?",,"8 = Don't know, 9 = Refused"
q3f,1,32,32,F1.0,"Q3f We're interested in how much confidence you have in some different institutions. (First,) in general, how much confidence do you have in... -Your local or state government when it comes to maintaining roads and bridges-?",,"8 = Don't know, 9 = Refused"
q3g,1,33,33,F1.0,"Q3g We're interested in how much confidence you have in some different institutions. (First,) in general, how much confidence do you have in... -Local hospitals and health care facilities-?",,"8 = Don't know, 9 = Refused"
q4,1,34,34,F1.0,Q4 How would you describe the availability of good paying jobs where you live? [READ],,"8 = Don't know, 9 = Refused"
q5,1,35,35,F1.0,"Q5 Over the past 12 months, would you say job opportunities where you live have [READ]",,"8 = Don't know, 9 = Refused"
q6,1,36,36,F1.0,"Q6 Thinking about your regular expenses, like housing, food and transportation, how would you describe the cost of living where you live? [READ]",,"8 = Don't know, 9 = Refused"
q7,1,37,37,F1.0,Q7 How would you describe your household's financial situation? Would you say you [READ IN ORDER],,"8 = Don't know, 9 = Refused"
employ,1,38,39,F2.0,EMPLOY. Which of the following best describes your current employment status? [READ],,"98 = Don't Know, 99 = Refused"
stud,1,40,40,F1.0,STUD. Are you also a full- or part-time student?,,"8 = Don't know, 9 = Refused"
